# Lexique de traduction des termes de règle -- table d'autorité du projet (LOT-30).
#
# GÉNÉRÉ. Ne pas éditer à la main :
#     python scripts/sourcebook glossaire
#
# Une seule traduction par terme de règle, dans tout le jeu. Ce n'est pas un catalogue
# d'interface -- fr.lang et en.lang font cela ; c'est ce qui empêche « saving throw » de
# devenir « jet de sauvegarde » dans la fiche et « JdS » dans le journal de combat.
#
# Source : Glossaire.pdf (aidedd.org), complété par Basic-Rules-FR.pdf. Provenance `srd`
# pour la totalité du fichier (EX-CNT-001), OGL 1.0a -- inutile de la répéter par ligne.
#
# Plusieurs traductions d'un même terme sont séparées par « / » ; la première est la
# forme retenue, les suivantes sont admises en lecture (check_glossary.py).
anglais;français;catégorie
Aarakocra;Aarakocra / Aarakocre;
aberration;aberration;type de créature
Abi-Dalzim's Horrid Wilting;Flétrissure épouvantable d'Abi-Dalzim (XGtE);
ability check;jet de caractéristique / test de caractéristique;
ability score;valeur de caractéristique;
Ability Score Improvement;Amélioration de caractéristiques;capacité
Ability Score Increase;Augmentation de caractéristiques;
abjuration;abjuration;école de magie
Abjuration Savant;Abjurateur érudit;capacité (magicien)
Abjure Enemy;condamnation de l'ennemi;capacité (paladin/conduit divin)
Aboleth;Aboleth;
Abominable Yeti;Yéti abominable / Yeti abominable;
Absorb Elements;Absorption des éléments (XGtE);
Abyss;Abysses;plan
Abyssal;abyssal;langue
Acheron;Achéron;plan
acid;acide;type de dégâts
Acid Splash;Aspersion d'acide / Aspersion acide;
Acolyte;Acolyte;
acolyte;acolyte;historique
Acolyte of Nature;Acolyte de la nature;capacité (clerc)
Acrobatics;Acrobaties;compétence
Action Surge;Fougue;capacité (guerrier)
Actor;Comédien;don
Adamantine Armor;Armure d'adamantium;
Adult Blue Dracolich;Dracoliche bleue, adulte;
Adult Dragon;Dragon, adulte;
advantage (to have);avantage (avoir un avantage) / avantage (être avantagé);
Aganazzar's Scorcher;Flambée d'Aganazzar (XGtE);
Agonizing Blast;Décharge déchirante;manifestation occulte
Aid;Aide;
Air Elemental;Élémentaire de l'air;
Alarm;Alarme;
Alchemy Jug;Cruche alchimique;
Alert;Vigilant;don
Allosaurus;Allosaure;
Alter Memories;Altération mémorielle;capacité (magicien)
Alter Self;Modification d'apparence;
Ambush;Embuscade;manœuvre (TCoE)
ammunition;munitions;propriété
Ammunition +1, +2, or +3;Munition +1, +2 ou +3;
Amulet of Health;Amulette de bonne santé;
Amulet of Proof against Detection and Location;Amulette d'anti-détection;
Amulet of the Planes;Amulette des plans;
Ancient Dragon;Dragon, ancien / Dragon vénérable;
Androsphinx;Androsphinx;
Animal Friendship;Amitié avec les animaux;
Animal Handling;Dressage;compétence
Animal Messenger;Messager animal;
Animal Shapes;Formes animales / Métamorphose animale;
Animate Dead;Animation des morts;
Animate Objects;Animation d'objets / Animation des objets;
Animated Armor;Armure animée;
Animated Shield;Bouclier animé;
Ankheg;Ankheg;
Ankylosaurus;Ankylosaure;
Antilife Shell;Coquille antivie;
Antimagic Field;Champ antimagie;
Antipathy/Sympathy;Aversion/attirance;
Ape;Grand singe;
Apparatus of Kwalish;Submersible de Kwalish;
Aquan;aquatique;langue
Arborea;Arborée;plan
Arcadia;Arcadie;plan
Arcana;Arcanes;compétence
Arcanaloth;Arcanaloth;
Arcane Charge;Charge arcanique;capacité (guerrier)
Arcane Eye;Oeil magique / Oeil du mage;
Arcane Gate;Portail magique / Portail arcanique;
Arcane Lock;Verrou magique;
Arcane Recovery;Restauration arcanique / Restauration magique;capacité (magicien)
Arcane Tradition;Tradition arcanique;capacité (magicien)
Arcane Trickster;Escroc arcanique / Arnaqueur arcanique;voie (roublard)
Arcane Ward;Protection arcanique / Égide arcanique;capacité (magicien)
Archdruid;Archidruide;capacité (druide)
Archery;Archerie;style de combat
Archfey, the;Archifée, l';voie (occultiste)
Archmage;Archimage;
Armor +1, +2, or +3;Armure +1, +2 ou +3;
Armor of Agathys;Armure d'Agathys;
Armor of Invulnerability;Armure d'invulnérabilité;
Armor of Resistance;Armure de résistance;
Armor of Shadows;Armure d'ombres;manifestation occulte
Armor of Vulnerability;Armure de vulnérabilité;
Arms of Hadar;Tentacules de Hadar;
Arrow of Slaying;Flèche tueuse;
Arrow-Catching Shield;Bouclier antiprojectiles;
artificer;artificier (TCoE);
Artificer Initiate;Artificier en herbe;don (TCoE)
Artificer's Lore;Connaissance en ingénierie;capacité (gnome)
Ascendant Step;Pas aérien;manifestation occulte
Aspect of the Beast;Aspect de la bête;capacité (barbare)
Aspect of the Moon;Aspect de la lune;manifestation occulte (XGtE)
Assassin;Assassin;
Assassin;Assassin;voie (roublard)
Assassinate;Assassinat;capacité (roublard)
Astral Plane;plan Astral;plan
Astral Projection;Projection astrale;
Athlete;Athlète;don
